YearsExperience,EducationLevel,JobDescription,Salary
11,Bachelor,Project manager with Agile and Scrum expertise,34131
16,PhD,Marketing specialist with SEO and SEM experience,40652
5,Master,Marketing specialist with SEO and SEM experience,77671
6,PhD,Project manager with Agile and Scrum expertise,119342
13,High School,Full stack developer skilled in React and Node.js,49171
12,High School,Marketing specialist with SEO and SEM experience,88541
7,Bachelor,Graphic designer with Adobe Creative Suite proficiency,39470
9,Master,Project manager with Agile and Scrum expertise,74308
8,PhD,Marketing specialist with SEO and SEM experience,182398
17,Bachelor,Project manager with Agile and Scrum expertise,165669
1,High School,Customer support representative with CRM experience,132840
4,High School,Financial analyst familiar with Excel and financial modeling,191860
4,Master,Financial analyst familiar with Excel and financial modeling,79477
5,PhD,Data scientist proficient in machine learning and Python,138261
18,Master,Full stack developer skilled in React and Node.js,132466
7,PhD,Project manager with Agile and Scrum expertise,63071
15,PhD,Software engineer with experience in backend systems,100560
12,Master,Data scientist proficient in machine learning and Python,192842
0,Bachelor,Data scientist proficient in machine learning and Python,106762
19,Master,Project manager with Agile and Scrum expertise,196471
16,Master,Project manager with Agile and Scrum expertise,173641
6,High School,Data scientist proficient in machine learning and Python,32369
12,High School,Data scientist proficient in machine learning and Python,139963
3,Master,Financial analyst familiar with Excel and financial modeling,30528
3,Master,Software engineer with experience in backend systems,138806
5,High School,Graphic designer with Adobe Creative Suite proficiency,191386
18,PhD,Data scientist proficient in machine learning and Python,132979
11,Master,Graphic designer with Adobe Creative Suite proficiency,179119
6,Bachelor,Financial analyst familiar with Excel and financial modeling,49748
9,Bachelor,Data scientist proficient in machine learning and Python,65109
18,Bachelor,Marketing specialist with SEO and SEM experience,43919
6,Master,Data scientist proficient in machine learning and Python,77498
2,PhD,Project manager with Agile and Scrum expertise,85808
12,PhD,Full stack developer skilled in React and Node.js,100441
12,High School,Full stack developer skilled in React and Node.js,143843
17,Master,Data scientist proficient in machine learning and Python,104420
19,PhD,Customer support representative with CRM experience,189978
7,Master,Marketing specialist with SEO and SEM experience,137447
8,High School,Software engineer with experience in backend systems,96896
6,High School,Data scientist proficient in machine learning and Python,133431
0,High School,Graphic designer with Adobe Creative Suite proficiency,183018
2,Bachelor,Software engineer with experience in backend systems,77020
12,Master,Marketing specialist with SEO and SEM experience,52161
16,High School,Data scientist proficient in machine learning and Python,57738
0,Master,Customer support representative with CRM experience,164997
5,Bachelor,Financial analyst familiar with Excel and financial modeling,169535
20,Bachelor,Customer support representative with CRM experience,87153
5,High School,Project manager with Agile and Scrum expertise,91009
11,High School,Customer support representative with CRM experience,117938
12,PhD,Graphic designer with Adobe Creative Suite proficiency,129546
12,Master,Financial analyst familiar with Excel and financial modeling,86271
14,High School,Project manager with Agile and Scrum expertise,39797
20,PhD,Financial analyst familiar with Excel and financial modeling,116130
15,Master,Full stack developer skilled in React and Node.js,101942
20,High School,Financial analyst familiar with Excel and financial modeling,148065
10,PhD,Data scientist proficient in machine learning and Python,43965
4,PhD,Software engineer with experience in backend systems,43733
3,Master,Full stack developer skilled in React and Node.js,157182
2,PhD,Full stack developer skilled in React and Node.js,187998
18,Master,Software engineer with experience in backend systems,189855
19,Master,Graphic designer with Adobe Creative Suite proficiency,113360
17,Master,Full stack developer skilled in React and Node.js,197466
14,Bachelor,Financial analyst familiar with Excel and financial modeling,138378
8,PhD,Customer support representative with CRM experience,58287
16,Master,Marketing specialist with SEO and SEM experience,112104
13,High School,Graphic designer with Adobe Creative Suite proficiency,191508
14,Bachelor,Financial analyst familiar with Excel and financial modeling,116916
0,Bachelor,Project manager with Agile and Scrum expertise,33188
20,PhD,Project manager with Agile and Scrum expertise,121205
2,Master,Customer support representative with CRM experience,127349
15,PhD,Graphic designer with Adobe Creative Suite proficiency,167837
10,Bachelor,Graphic designer with Adobe Creative Suite proficiency,171879
11,Master,Customer support representative with CRM experience,40204
9,High School,Graphic designer with Adobe Creative Suite proficiency,72120
15,Master,Full stack developer skilled in React and Node.js,132903
7,Bachelor,Data scientist proficient in machine learning and Python,183730
5,High School,Data scientist proficient in machine learning and Python,67081
11,Master,Graphic designer with Adobe Creative Suite proficiency,64986
20,High School,Full stack developer skilled in React and Node.js,109322
7,High School,Full stack developer skilled in React and Node.js,124819
3,Bachelor,Software engineer with experience in backend systems,160015
7,High School,Software engineer with experience in backend systems,80304
17,PhD,Marketing specialist with SEO and SEM experience,95592
4,Bachelor,Marketing specialist with SEO and SEM experience,88548
8,PhD,Marketing specialist with SEO and SEM experience,128447
3,High School,Marketing specialist with SEO and SEM experience,69986
16,PhD,Customer support representative with CRM experience,104095
8,Master,Customer support representative with CRM experience,121594
0,High School,Software engineer with experience in backend systems,118281
20,Master,Data scientist proficient in machine learning and Python,96151
19,PhD,Full stack developer skilled in React and Node.js,103598
12,Master,Project manager with Agile and Scrum expertise,58214
15,High School,Data scientist proficient in machine learning and Python,68745
12,Master,Financial analyst familiar with Excel and financial modeling,171753
13,PhD,Customer support representative with CRM experience,168056
2,PhD,Marketing specialist with SEO and SEM experience,188651
5,PhD,Marketing specialist with SEO and SEM experience,120810
17,High School,Financial analyst familiar with Excel and financial modeling,188471
18,PhD,Data scientist proficient in machine learning and Python,192553
4,High School,Marketing specialist with SEO and SEM experience,30944
14,Master,Data scientist proficient in machine learning and Python,123993
1,PhD,Full stack developer skilled in React and Node.js,39114
9,Master,Financial analyst familiar with Excel and financial modeling,69846
17,Bachelor,Project manager with Agile and Scrum expertise,62596
12,Master,Data scientist proficient in machine learning and Python,134087
4,Bachelor,Full stack developer skilled in React and Node.js,36907
0,Master,Graphic designer with Adobe Creative Suite proficiency,189186
0,High School,Graphic designer with Adobe Creative Suite proficiency,55009
17,Master,Data scientist proficient in machine learning and Python,114846
14,High School,Graphic designer with Adobe Creative Suite proficiency,80241
16,High School,Data scientist proficient in machine learning and Python,196797
10,PhD,Marketing specialist with SEO and SEM experience,48996
20,High School,Software engineer with experience in backend systems,167119
16,Bachelor,Graphic designer with Adobe Creative Suite proficiency,58767
